"sample_month","party_brand_index_10","q1_stance_republican_10","q1_stance_democratic_10","post_breakpoint","affiliation_recognizability","conditional_psi","observed_unconditional_psi","ingroup_self_positioning","emotional_intensity","outgroup_construction","republican_skew","democratic_skew","direction_slope"
"2023-03",6.16385485132889,5.75617777059671,2.04359932385212,0,0.672072121187561,0.176662054549899,0.119810955084092,0.0118475092367321,0.209786393550576,0.308352260862388,0.116282841024526,0.843045592697342,-0.0548246732360984
"2023-04",5.40868091137659,5.68589748072688,2.43610753369787,0,0.647358248611285,0.168510880052984,0.10884182773903,0.00994190490672604,0.181943455176381,0.313647280075847,0.0867076489341266,0.883459268791407,-0.0468715702729739
"2023-05",5.04263133359367,4.92562497402639,2.17569485044929,0,0.519962213119176,0.14796910454169,0.0776043215346932,0.0119534093227726,0.175727859033299,0.256226045268999,0.18604209397986,0.75256559832811,-0.0535815555844647
"2023-06",5.1899771949312,4.48021936614483,1.90889515810667,0,0.558300594168613,0.154192355090436,0.0852348296773102,0.0112476543163202,0.191327455945776,0.260001955009212,0.161175395641815,0.800139392883725,-0.0395897332934059
"2023-07",4.79535313148942,4.83493707116362,1.89662905650804,0,0.507604500574121,0.170359832289168,0.0857791084462304,0.0118652032120392,0.2003928916416,0.298821402013864,0.12159523404089,0.842237295853251,-0.0300696675033277
"2023-08",5.2939953409769,5.40222342992691,2.42411510857182,0,0.647289511988967,0.172276753535847,0.112269327789333,0.0160714252161429,0.199553617029672,0.301205218361725,0.128533450327837,0.836007523391505,-0.0530538842612524
"2023-09",6.24553844132985,5.59433528709412,1.46714211653279,1,0.508457506026362,0.162044815430374,0.0815197828392828,0.0159055945273805,0.187715416833756,0.282513434929986,0.217704709469945,0.728624094618574,-0.0531036880885696
"2023-10",6.14865365026957,5.58084439422045,1.50283035970836,1,0.505301626524148,0.152541341509769,0.0763134713557568,0.0159279812089159,0.175545200741561,0.266150842578829,0.198549661127129,0.740545055795917,-0.0376924670305133
"2023-11",5.75910398908809,5.29377900564317,1.69949486085165,1,0.6091559002905,0.166490924095523,0.10157909556836,0.0131005117954488,0.180997133109297,0.305375127381823,0.121401962346496,0.81872253385445,-0.022760471290142
"2023-12",6.11984321948073,5.57203807073576,1.52970996459137,1,0.619626527091608,0.186361223970535,0.115445282342337,0.0248587673413299,0.207877752682948,0.326347151887327,0.224833558294892,0.729922460792366,-0.0448826589833994
"2024-01",5.86446518557328,5.56971130952966,1.62945913164201,1,0.609882626653994,0.17092439634254,0.103786525346732,0.0153061277911122,0.187849179579328,0.30961788165718,0.160968160922782,0.784079948451777,-0.0465912758345445
"2024-02",6.13012455814531,5.73176313927845,1.54284302646176,1,0.662823613181255,0.185236386514372,0.123622859091145,0.0155383906094514,0.212182881314292,0.327987887619374,0.136762289162295,0.818049242328956,-0.0579943889093706
