"outcome","outcome_label","predictor","sample_month","fitted","residual","sqrt_abs_standardized_residual"
"observed_unconditional_psi_mean","Observed Unconditional Partisan Strength","party_brand_index_10","2022-03",0.07525700186585,0.0129968207967421,0.860425597411196
"observed_unconditional_psi_mean","Observed Unconditional Partisan Strength","party_brand_index_10","2022-04",0.0879374202277006,0.00709480879027833,0.60872812362067
"observed_unconditional_psi_mean","Observed Unconditional Partisan Strength","party_brand_index_10","2022-05",0.0931118375655128,-0.000405352533873023,0.145564440648059
"observed_unconditional_psi_mean","Observed Unconditional Partisan Strength","party_brand_index_10","2022-06",0.0770076386905578,-0.0218058955967023,1.10294105783471
"observed_unconditional_psi_mean","Observed Unconditional Partisan Strength","party_brand_index_10","2022-07",0.0937763675376464,-0.0267793741360043,1.18404499993733
"observed_unconditional_psi_mean","Observed Unconditional Partisan Strength","party_brand_index_10","2022-08",0.0898279744736063,-0.0456753790871665,1.54303562052294
"observed_unconditional_psi_mean","Observed Unconditional Partisan Strength","party_brand_index_10","2022-09",0.0905492054583228,0.0171069010962094,0.94429668205903
"observed_unconditional_psi_mean","Observed Unconditional Partisan Strength","party_brand_index_10","2022-10",0.105550615218928,-0.0154528444857845,0.939530672928221
"observed_unconditional_psi_mean","Observed Unconditional Partisan Strength","party_brand_index_10","2022-11",0.0887431599519227,0.0020425968529805,0.326435617041707
"observed_unconditional_psi_mean","Observed Unconditional Partisan Strength","party_brand_index_10","2022-12",0.104915018633967,0.0149798020226116,0.921283412247151
"observed_unconditional_psi_mean","Observed Unconditional Partisan Strength","party_brand_index_10","2023-01",0.0907855107903084,-0.0119213424179994,0.788313724206803
"observed_unconditional_psi_mean","Observed Unconditional Partisan Strength","party_brand_index_10","2023-02",0.0908325322993289,0.0153092509979398,0.8933409618891
"observed_unconditional_psi_mean","Observed Unconditional Partisan Strength","party_brand_index_10","2023-03",0.101438868375488,0.0183720867086044,1.0017392299297
"observed_unconditional_psi_mean","Observed Unconditional Partisan Strength","party_brand_index_10","2023-04",0.0908127200445313,0.0180291076944986,0.969450774885626
"observed_unconditional_psi_mean","Observed Unconditional Partisan Strength","party_brand_index_10","2023-05",0.0856619899885511,-0.00805766845385792,0.650597602950634
"observed_unconditional_psi_mean","Observed Unconditional Partisan Strength","party_brand_index_10","2023-06",0.0877353122997315,-0.00250048262242128,0.361445579967291
"observed_unconditional_psi_mean","Observed Unconditional Partisan Strength","party_brand_index_10","2023-07",0.0821825070303097,0.00359660141592068,0.438258489666343
"observed_unconditional_psi_mean","Observed Unconditional Partisan Strength","party_brand_index_10","2023-08",0.0891989648313093,0.0230703629580239,1.09682915677524
"observed_unconditional_psi_mean","Observed Unconditional Partisan Strength","party_brand_index_10","2023-09",0.0996081904604667,-0.0180884076211839,0.973258233925687
"observed_unconditional_psi_mean","Observed Unconditional Partisan Strength","party_brand_index_10","2023-10",0.0982449122720201,-0.0219314409162632,1.07116945752009
"observed_unconditional_psi_mean","Observed Unconditional Partisan Strength","party_brand_index_10","2023-11",0.0927635095606795,0.00881558600768063,0.682506231445891
"observed_unconditional_psi_mean","Observed Unconditional Partisan Strength","party_brand_index_10","2023-12",0.0978395170447162,0.0176057652976209,0.95972776894148
"observed_unconditional_psi_mean","Observed Unconditional Partisan Strength","party_brand_index_10","2024-01",0.0942460603254072,0.00954046502132446,0.708281840562825
"observed_unconditional_psi_mean","Observed Unconditional Partisan Strength","party_brand_index_10","2024-02",0.0979841870656356,0.025638672025509,1.1581553748349
"observed_unconditional_psi_mean","Observed Unconditional Partisan Strength","party_brand_index_10","2024-03",0.100855357488791,0.0186146662887194,0.988323813154598
"observed_unconditional_psi_mean","Observed Unconditional Partisan Strength","party_brand_index_10","2024-04",0.0903566372046666,0.0115113387706465,0.784427514992505
"observed_unconditional_psi_mean","Observed Unconditional Partisan Strength","party_brand_index_10","2024-05",0.0877636181004696,-0.0172878763162044,0.969902335895807
"observed_unconditional_psi_mean","Observed Unconditional Partisan Strength","party_brand_index_10","2024-06",0.107738712773064,0.0145786789354366,0.889082658290612
"observed_unconditional_psi_mean","Observed Unconditional Partisan Strength","party_brand_index_10","2024-07",0.103680721005539,-0.0198861414711691,1.02608185795527
"observed_unconditional_psi_mean","Observed Unconditional Partisan Strength","party_brand_index_10","2024-08",0.102834203004479,-0.0384994356537485,1.42533303760078
"observed_unconditional_psi_mean","Observed Unconditional Partisan Strength","party_brand_index_10","2024-09",0.0983132809308374,0.0241756597186291,1.12464896168201
"observed_unconditional_psi_mean","Observed Unconditional Partisan Strength","party_brand_index_10","2024-10",0.0965291313368776,0.0165919245546295,0.932036889373462
"observed_unconditional_psi_mean","Observed Unconditional Partisan Strength","party_brand_index_10","2024-11",0.100462040858703,-0.0144261984067553,0.869722910114804
"observed_unconditional_psi_mean","Observed Unconditional Partisan Strength","party_brand_index_10","2024-12",0.0984543253918376,-0.0169532562348718,0.941810120794602
"ingroup_self_positioning_mean","In-group Self-positioning","party_brand_index_10","2022-03",0.0146027038015239,0.00189912378951709,0.602486400539447
"ingroup_self_positioning_mean","In-group Self-positioning","party_brand_index_10","2022-04",0.0160545882730973,0.00507657155699724,0.943222452091168
"ingroup_self_positioning_mean","In-group Self-positioning","party_brand_index_10","2022-05",0.0166470494969961,0.00278209236774417,0.698554793173512
"ingroup_self_positioning_mean","In-group Self-positioning","party_brand_index_10","2022-06",0.0148031484831288,0.0133946925325764,1.58346172073389
"ingroup_self_positioning_mean","In-group Self-positioning","party_brand_index_10","2022-07",0.0167231369508878,0.00206844382341242,0.602789552695793
"ingroup_self_positioning_mean","In-group Self-positioning","party_brand_index_10","2022-08",0.0162710532408902,0.000157082107271269,0.165757842589878
"ingroup_self_positioning_mean","In-group Self-positioning","party_brand_index_10","2022-09",0.0163536328559507,-0.00266353073968619,0.682539048745453
