outcome,outcome_label,predictor,predictor_label,sample_month,predictor_value,case_value,n_cases
observed_unconditional_psi_mean,Observed Unconditional Partisan Strength,party_brand_index_10,Party Brand Index (10-point units),2022-12,6.410896206747798,0.1198948206565787,6015
observed_unconditional_psi_mean,Observed Unconditional Partisan Strength,party_brand_index_10,Party Brand Index (10-point units),2023-01,5.406747217334802,0.07886416837230899,3384
observed_unconditional_psi_mean,Observed Unconditional Partisan Strength,party_brand_index_10,Party Brand Index (10-point units),2023-02,5.410088919061863,0.1061417832972687,9948
observed_unconditional_psi_mean,Observed Unconditional Partisan Strength,party_brand_index_10,Party Brand Index (10-point units),2023-03,6.163854851328894,0.11981095508409241,11134
observed_unconditional_psi_mean,Observed Unconditional Partisan Strength,party_brand_index_10,Party Brand Index (10-point units),2023-04,5.408680911376589,0.10884182773902992,1477
observed_unconditional_psi_mean,Observed Unconditional Partisan Strength,party_brand_index_10,Party Brand Index (10-point units),2023-05,5.042631333593673,0.07760432153469317,1676
observed_unconditional_psi_mean,Observed Unconditional Partisan Strength,party_brand_index_10,Party Brand Index (10-point units),2023-06,5.189977194931201,0.08523482967731025,2965
observed_unconditional_psi_mean,Observed Unconditional Partisan Strength,party_brand_index_10,Party Brand Index (10-point units),2023-07,4.795353131489422,0.08577910844623036,2701
observed_unconditional_psi_mean,Observed Unconditional Partisan Strength,party_brand_index_10,Party Brand Index (10-point units),2023-08,5.293995340976904,0.11226932778933317,2113
observed_unconditional_psi_mean,Observed Unconditional Partisan Strength,party_brand_index_10,Party Brand Index (10-point units),2023-09,6.2455384413298445,0.08151978283928281,6516
observed_unconditional_psi_mean,Observed Unconditional Partisan Strength,party_brand_index_10,Party Brand Index (10-point units),2023-10,6.148653650269567,0.07631347135575685,7128
observed_unconditional_psi_mean,Observed Unconditional Partisan Strength,party_brand_index_10,Party Brand Index (10-point units),2023-11,5.75910398908809,0.10157909556836013,2629
