year_month,polarization,pol_ci_lower,pol_ci_upper,rep_raw_iqr,rep_raw_iqr_ci_lower,rep_raw_iqr_ci_upper,dem_raw_iqr,dem_raw_iqr_ci_lower,dem_raw_iqr_ci_upper,rep_n_articles,dem_n_articles,P,P_ci_lower,P_ci_upper,C_R,C_R_ci_lower,C_R_ci_upper,C_D,C_D_ci_lower,C_D_ci_upper,party_brand_index,pbi_ci_lower,pbi_ci_upper,max_pol_used,k_used,P_bootstrap_valid,C_R_bootstrap_valid,C_D_bootstrap_valid,pbi_bootstrap_valid
2023-02,35.38737231922933,30.339625146311604,40.48581545022835,55.0,35.5,65.0,18.0,13.0,20.0,115,396,0.7613122220957479,0.5605572087315515,0.8665893048882434,0.3400824896887889,0.29431679043991055,0.4385765919403165,0.6115981119352664,0.5742793791574279,0.6832527486112077,54.10088919061863,47.63212991657193,60.78094852352611,46.48207567430694,28.34375,5000,5000,5000,5000
2023-03,37.12578446744588,32.349852611702836,41.6908669255383,26.904761904761912,24.998863636363637,31.87604166666665,21.25,10.0,35.0,143,156,0.7987118459937286,0.5936197019382469,0.8927796308239553,0.5130228674549518,0.4618706344797955,0.541985091040654,0.571518588531821,0.44295302013422816,0.7288146535216815,61.63854851328894,51.87324758519752,67.59992850372232,46.48207567430694,28.34375,5000,5000,5000,5000
2023-04,32.49789947029008,23.03691846719127,42.85055156481644,32.5,22.5,50.05882352941176,30.0,18.328125,50.0,30,89,0.6991490590480097,0.44600939442384174,0.899205652801298,0.4658448895737031,0.35848749818046993,0.5500058563248308,0.48580610605249064,0.35444282690413764,0.60397502250225,54.08680911376589,42.12976281603916,61.76606440748695,46.48207567430694,28.34375,5000,5000,5000,5000
2023-05,27.499301235771014,19.633955442913845,35.08112619327102,38.03125,21.82991071428571,62.91666666666667,27.500000000000004,15.0,35.0,46,147,0.591610870143893,0.38118262605251707,0.7382764587898454,0.4270244821092279,0.3055463687257947,0.5620456981234978,0.5075545607162842,0.44232307292584067,0.6539376529270683,50.426313335936726,40.38872795816084,60.109691704147686,46.48207567430694,28.34375,5000,5000,5000,5000
2023-06,25.71324208038159,19.086182940568374,32.6210616851792,45.0,27.5,60.0,15.0,10.0,22.5,57,121,0.5531861842950063,0.371668222001794,0.6839930648326624,0.38645078824030676,0.31753150102953354,0.5018887527297373,0.6539293439077145,0.5523884062535914,0.7425594359727314,51.89977194931201,43.50224324545493,59.87972434986094,46.48207567430694,28.34375,5000,5000,5000,5000
2023-07,29.383080146555763,23.58190003277046,35.45973216813421,60.416666666666664,39.375,67.5,23.541666666666664,15.0,28.75,92,256,0.6321378664851087,0.4478377327699733,0.746038369276667,0.3193287172867035,0.28888832315003393,0.4185069483573936,0.5462758482232484,0.4889051857423426,0.6536805459818961,47.95353131489423,41.928250661198604,55.76669142170417,46.48207567430694,28.34375,5000,5000,5000,5000
2023-08,29.781083213550914,23.61745349521135,35.83060973652615,33.0,28.0,42.53125,28.208333333333332,16.666666666666668,42.708333333333336,86,120,0.6407003728108568,0.449333120222738,0.7592625706022088,0.46204788588894546,0.39396177601169835,0.4978039325752914,0.501197273899429,0.39347463826752227,0.6242974895835558,52.939953409769046,43.513886194801614,58.831445111709,46.48207567430694,28.34375,5000,5000,5000,5000
2023-09,41.271931705613255,37.287794051916414,45.23943525438712,36.70833333333333,27.916666666666657,42.5,16.666666666666668,15.0,20.0,178,252,0.8879106861492073,0.6686484278068626,0.9752315784804321,0.4357085668534828,0.3976927162049498,0.49767981552350105,0.6297153436704466,0.5728587319243604,0.6627634660421545,62.455384413298454,55.82194298205194,66.34982458747196,46.48207567430694,28.34375,5000,5000,5000,5000
2023-10,40.78014034512093,37.076788038643656,44.31748342153263,34.37499999999999,29.375,40.0,20.0,15.0,20.0,236,255,0.8773304495018975,0.6606084526603965,0.958460291687374,0.4519182859990035,0.40950443487543986,0.49135081835584893,0.5862960568842922,0.5691178692974025,0.6619718309859155,61.486536502695664,55.4988120486548,65.45285331589045,46.48207567430694,28.34375,5000,5000,5000,5000
2023-11,35.94284144791523,30.814964978805676,40.7012699404794,38.92857142857143,33.125,45.208333333333336,20.0,15.0,28.0,147,109,0.7732624011836611,0.5745276647412583,0.8713340398172525,0.4213285553122304,0.3747268369498602,0.45781952372601425,0.5862960568842922,0.4947351150641164,0.6563680976796926,57.5910398908809,49.93140871445775,61.208841811940665,46.48207567430694,28.34375,5000,5000,5000,5000
