year_month,party,dimension,mean,raw_iqr,n_articles
2024-03,republican,q1,57.93497045409927,40.0,160
2024-03,republican,q2,32.720551215913076,40.0,50
2024-03,republican,q3,22.472473567598076,50.0,23
2024-03,republican,q4,37.901414200125416,44.166666666666664,59
2024-04,democrat,q1,14.804464498222675,20.0,204
2024-04,democrat,q2,13.710507395952243,12.5,53
2024-04,democrat,q3,19.803172970670843,50.0,27
2024-04,democrat,q4,24.833338863256518,33.75,86
2024-04,republican,q1,49.992135813068735,43.74999999999999,380
2024-04,republican,q2,29.678567196562735,40.0,139
2024-04,republican,q3,27.94602282210201,50.0,52
2024-04,republican,q4,47.77458060939558,55.0,155
2024-05,democrat,q1,18.531903958439656,23.541666666666668,104
2024-05,democrat,q2,17.15938150698341,15.0,39
2024-05,democrat,q3,8.784427899250549,20.0,13
2024-05,democrat,q4,6.258673696691938,10.0,26
2024-05,republican,q1,54.341024863737445,47.25,63
2024-05,republican,q2,26.782967326826846,50.0,24
2024-05,republican,q3,38.15775185602947,57.5,12
2024-05,republican,q4,51.531251607278556,45.0,24
2024-06,democrat,q1,14.577037248852196,15.0,166
2024-06,democrat,q2,10.487889128734675,8.0,113
2024-06,democrat,q3,10.010278175056555,20.0,53
2024-06,democrat,q4,9.958315196735835,10.0,83
2024-06,republican,q1,61.059112923159134,30.0,70
2024-06,republican,q2,39.704570855818204,52.5,34
2024-06,republican,q3,36.909717796572835,45.833333333333336,10
2024-06,republican,q4,48.61505583858571,50.0,22
2024-07,democrat,q1,15.505106521777888,19.0,107
2024-07,democrat,q2,11.018796486488158,10.0,73
2024-07,democrat,q3,9.458970860784127,11.25,44
2024-07,democrat,q4,9.112068384899448,10.0,63
2024-07,republican,q1,57.55916323464024,26.666666666666664,123
2024-07,republican,q2,41.02934449647211,57.5,73
2024-07,republican,q3,32.45262436132794,70.0,25
2024-07,republican,q4,25.526700570498605,40.0,58
2024-08,democrat,q1,20.08036454242116,20.0,54
2024-08,democrat,q2,17.260552632240106,20.0,27
2024-08,democrat,q3,8.725890517453545,5.0,4
2024-08,democrat,q4,11.738738248950433,12.5,11
2024-08,republican,q1,60.582178863560415,25.0,36
2024-08,republican,q2,41.098316946823026,60.0,18
2024-08,republican,q3,27.220827000370516,,3
2024-08,republican,q4,56.672324777502816,55.0,6
2024-09,democrat,q1,21.74011653738444,23.833333333333332,126
2024-09,democrat,q2,12.983979935745612,20.0,65
2024-09,democrat,q3,5.307755317935717,0.0,23
2024-09,democrat,q4,9.609495507808608,15.0,36
2024-09,republican,q1,60.14291473482905,26.25,112
2024-09,republican,q2,49.72208608683983,29.91666666666667,84
2024-09,republican,q3,19.434874805772168,50.0,21
2024-09,republican,q4,49.17207151651953,47.5,24
2024-10,democrat,q1,20.450687795177142,28.333333333333332,69
2024-10,democrat,q2,11.532670092008876,11.25,34
2024-10,democrat,q3,4.031164344266126,10.0,17
2024-10,democrat,q4,14.549676655185273,20.0,29
2024-10,republican,q1,60.536938435172374,27.5,84
2024-10,republican,q2,50.753973425186835,32.857142857142854,53
2024-10,republican,q3,9.095400872096388,8.75,14
2024-10,republican,q4,38.08366914456665,60.0,24
2024-11,democrat,q1,18.29759201684732,22.36111111111111,187
2024-11,democrat,q2,16.08165622424494,20.0,78
2024-11,democrat,q3,11.94917434671972,20.0,48
2024-11,democrat,q4,11.20370650794285,15.0,43
2024-11,republican,q1,59.38439124765692,27.5,257
2024-11,republican,q2,38.096723409337166,38.33333333333333,151
2024-11,republican,q3,17.121619471902676,43.75,54
2024-11,republican,q4,24.828182377896926,50.0,77
2024-12,democrat,q1,23.453040905629006,20.0,59
2024-12,democrat,q2,13.414828615198818,20.0,25
2024-12,democrat,q3,7.566681326859306,10.0,10
2024-12,democrat,q4,13.552950124048321,12.5,16
2024-12,republican,q1,58.38996049524176,25.0,117
2024-12,republican,q2,32.42669157161143,30.0,65
2024-12,republican,q3,18.765633008914584,27.5,23
2024-12,republican,q4,29.780165974113775,50.0,38
